hidden numbering,Frequency Rank,Complexity,Word,Romanised,품사,Classification,Hanja/Ref.,English,,Wiktionary Link,,Wordreference Link,Note,,,
1715,1829,B,놀랍다,nollapda,형,adjective,,To be surprising,https://en.wiktionary.org/wiki/놀랍다,https://en.wiktionary.org/wiki/놀랍다,https://www.wordreference.com/koen/놀랍다,https://www.wordreference.com/koen/놀랍다,,,,
1716,1831,C,양식,yangsik,명,noun,樣式,"A mode, a style, an order, a modality",https://en.wiktionary.org/wiki/양식,https://en.wiktionary.org/wiki/양식,https://www.wordreference.com/koen/양식,https://www.wordreference.com/koen/양식,,,,
1717,1832,B,예전,yejeon,명,noun,,"Old days, former days",https://en.wiktionary.org/wiki/예전,https://en.wiktionary.org/wiki/예전,https://www.wordreference.com/koen/예전,https://www.wordreference.com/koen/예전,,,,
1718,1833,B,저,jeo,감,interjection,,That,https://en.wiktionary.org/wiki/저,https://en.wiktionary.org/wiki/저,https://www.wordreference.com/koen/저,https://www.wordreference.com/koen/저,,,,
1719,1834,B,전기,jeongi,명,noun,電氣,Electricity,https://en.wiktionary.org/wiki/전기,https://en.wiktionary.org/wiki/전기,https://www.wordreference.com/koen/전기,https://www.wordreference.com/koen/전기,,,,
1720,1835,C,주식,jusik,명,noun,株式,Stock,https://en.wiktionary.org/wiki/주식,https://en.wiktionary.org/wiki/주식,https://www.wordreference.com/koen/주식,https://www.wordreference.com/koen/주식,,,,
1721,1837,B,틀리다,teullida,동,verb,답이~,"To be turned, warped 2) go wrong, be mistaken",https://en.wiktionary.org/wiki/틀리다,https://en.wiktionary.org/wiki/틀리다,https://www.wordreference.com/koen/틀리다,https://www.wordreference.com/koen/틀리다,,,,
1722,1839,C,끊임없이,kkeunhimeopsi,부,adverb,,Constantly or unceasingly,https://en.wiktionary.org/wiki/끊임없이,https://en.wiktionary.org/wiki/끊임없이,https://www.wordreference.com/koen/끊임없이,https://www.wordreference.com/koen/끊임없이,,,,
1723,1840,B,모델,model,명,noun,model,Model,https://en.wiktionary.org/wiki/모델,https://en.wiktionary.org/wiki/모델,https://www.wordreference.com/koen/모델,https://www.wordreference.com/koen/모델,,,,
1724,1841,B,붓다,busda,동,verb,물을~,"to pour (water, liquid)",https://en.wiktionary.org/wiki/붓다,https://en.wiktionary.org/wiki/붓다,https://www.wordreference.com/koen/붓다,https://www.wordreference.com/koen/붓다,,,,
1725,1842,C,상식,sangsik,명,noun,常識,Common sense,https://en.wiktionary.org/wiki/상식,https://en.wiktionary.org/wiki/상식,https://www.wordreference.com/koen/상식,https://www.wordreference.com/koen/상식,,,,
1726,1843,C,상표,sangpyo,명,noun,商標,"trademark, brand",https://en.wiktionary.org/wiki/상표,https://en.wiktionary.org/wiki/상표,https://www.wordreference.com/koen/상표,https://www.wordreference.com/koen/상표,,,,
1727,1844,A,시원하다,siwonhada,형,adjective,,"Be cool, refreshing",https://en.wiktionary.org/wiki/시원하다,https://en.wiktionary.org/wiki/시원하다,https://www.wordreference.com/koen/시원하다,https://www.wordreference.com/koen/시원하다,,,,
1728,1845,C,아니하다,anihada,보,auxiliary verb,,To be/do not,https://en.wiktionary.org/wiki/아니하다,https://en.wiktionary.org/wiki/아니하다,https://www.wordreference.com/koen/아니하다,https://www.wordreference.com/koen/아니하다,,,,
1729,1846,A,어디,eodi,감,interjection,,Where?,https://en.wiktionary.org/wiki/어디,https://en.wiktionary.org/wiki/어디,https://www.wordreference.com/koen/어디,https://www.wordreference.com/koen/어디,,,,
1730,1847,C,의식하다,uisikhada,동,verb,意識-,"Be conscious of, be aware of",https://en.wiktionary.org/wiki/의식하다,https://en.wiktionary.org/wiki/의식하다,https://www.wordreference.com/koen/의식하다,https://www.wordreference.com/koen/의식하다,,,,
1731,1848,B,고모,gomo,명,noun,姑母,A paternal aunt,https://en.wiktionary.org/wiki/고모,https://en.wiktionary.org/wiki/고모,https://www.wordreference.com/koen/고모,https://www.wordreference.com/koen/고모,,,,
1732,1849,B,궁금하다,gunggeumhada,형,adjective,,To wonder or be curious about,https://en.wiktionary.org/wiki/궁금하다,https://en.wiktionary.org/wiki/궁금하다,https://www.wordreference.com/koen/궁금하다,https://www.wordreference.com/koen/궁금하다,,,,
1733,1850,C,둘러싸다,dulleossada,동,verb,,To surround.,https://en.wiktionary.org/wiki/둘러싸다,https://en.wiktionary.org/wiki/둘러싸다,https://www.wordreference.com/koen/둘러싸다,https://www.wordreference.com/koen/둘러싸다,,,,
1734,1851,B,딱,ttak,부,adverb,바라진모양,tightly; in a perfectly fitting manner ,https://en.wiktionary.org/wiki/딱,https://en.wiktionary.org/wiki/딱,https://www.wordreference.com/koen/딱,https://www.wordreference.com/koen/딱,,,,
1735,1852,A,뛰다,ttwida,동,verb,심장이~,"to pulsate, palpitate",https://en.wiktionary.org/wiki/뛰다,https://en.wiktionary.org/wiki/뛰다,https://www.wordreference.com/koen/뛰다,https://www.wordreference.com/koen/뛰다,,,,
1736,1854,C,민주화,minjuhwa,명,noun,民主化,Democratization,https://en.wiktionary.org/wiki/민주화,https://en.wiktionary.org/wiki/민주화,https://www.wordreference.com/koen/민주화,https://www.wordreference.com/koen/민주화,,,,
1737,1855,C,보도,bodo,명,noun,報道,"news, report",https://en.wiktionary.org/wiki/보도,https://en.wiktionary.org/wiki/보도,https://www.wordreference.com/koen/보도,https://www.wordreference.com/koen/보도,,,,
1738,1856,C,살피다,salpida,동,verb,,Take a good look at,https://en.wiktionary.org/wiki/살피다,https://en.wiktionary.org/wiki/살피다,https://www.wordreference.com/koen/살피다,https://www.wordreference.com/koen/살피다,,,,
1739,1859,A,않다,anhda,동,verb,,To not do,https://en.wiktionary.org/wiki/않다,https://en.wiktionary.org/wiki/않다,https://www.wordreference.com/koen/않다,https://www.wordreference.com/koen/않다,,,,
1740,1860,B,약하다,yakhada,형,adjective,弱-,To be weak,https://en.wiktionary.org/wiki/약하다,https://en.wiktionary.org/wiki/약하다,https://www.wordreference.com/koen/약하다,https://www.wordreference.com/koen/약하다,,,,
1741,1861,B,잘못하다,jalmoshada,동,verb,,To make a mistake,https://en.wiktionary.org/wiki/잘못하다,https://en.wiktionary.org/wiki/잘못하다,https://www.wordreference.com/koen/잘못하다,https://www.wordreference.com/koen/잘못하다,,,,
1742,1862,A,잡지,japji,명,noun,雜誌,A magazine,https://en.wiktionary.org/wiki/잡지,https://en.wiktionary.org/wiki/잡지,https://www.wordreference.com/koen/잡지,https://www.wordreference.com/koen/잡지,,,,
1743,1864,C,거부하다,geobuhada,동,verb,拒否-,Deny or reject or disapprove,https://en.wiktionary.org/wiki/거부하다,https://en.wiktionary.org/wiki/거부하다,https://www.wordreference.com/koen/거부하다,https://www.wordreference.com/koen/거부하다,,,,
1744,1865,B,공무원,gongmuwon,명,noun,公務員,Public servant,https://en.wiktionary.org/wiki/공무원,https://en.wiktionary.org/wiki/공무원,https://www.wordreference.com/koen/공무원,https://www.wordreference.com/koen/공무원,,,,
1745,1866,B,그만두다,geumanduda,동,verb,,Stop or discontinue,https://en.wiktionary.org/wiki/그만두다,https://en.wiktionary.org/wiki/그만두다,https://www.wordreference.com/koen/그만두다,https://www.wordreference.com/koen/그만두다,,,,
1746,1867,A,댁,daek,명,noun,宅,You and your family,https://en.wiktionary.org/wiki/댁,https://en.wiktionary.org/wiki/댁,https://www.wordreference.com/koen/댁,https://www.wordreference.com/koen/댁,,,,
1747,1868,A,반갑다,bangapda,형,adjective,,Be happy,https://en.wiktionary.org/wiki/반갑다,https://en.wiktionary.org/wiki/반갑다,https://www.wordreference.com/koen/반갑다,https://www.wordreference.com/koen/반갑다,,,,
1748,1869,B,부족,bujok,명,noun,不足,insufficiency; inadequacy,https://en.wiktionary.org/wiki/부족,https://en.wiktionary.org/wiki/부족,https://www.wordreference.com/koen/부족,https://www.wordreference.com/koen/부족,,,,
1749,1870,C,실시,silsi,명,noun,實施,"execution, enforcement",https://en.wiktionary.org/wiki/실시,https://en.wiktionary.org/wiki/실시,https://www.wordreference.com/koen/실시,https://www.wordreference.com/koen/실시,,,,
1750,1871,C,운명,unmyeong,명,noun,運命,"fate, fortune",https://en.wiktionary.org/wiki/운명,https://en.wiktionary.org/wiki/운명,https://www.wordreference.com/koen/운명,https://www.wordreference.com/koen/운명,,,,
1751,1873,C,재정,jaejeong,명,noun,財政,"finances, economy",https://en.wiktionary.org/wiki/재정,https://en.wiktionary.org/wiki/재정,https://www.wordreference.com/koen/재정,https://www.wordreference.com/koen/재정,,,,
1752,1874,C,차라리,charari,부,adverb,,"rather, preferably",https://en.wiktionary.org/wiki/차라리,https://en.wiktionary.org/wiki/차라리,https://www.wordreference.com/koen/차라리,https://www.wordreference.com/koen/차라리,,,,
1753,1875,C,학자,hakja,명,noun,學者,Scholar,https://en.wiktionary.org/wiki/학자,https://en.wiktionary.org/wiki/학자,https://www.wordreference.com/koen/학자,https://www.wordreference.com/koen/학자,,,,
1754,1876,A,다녀오다,danyeooda,동,verb,,Drop in for a short visit,https://en.wiktionary.org/wiki/다녀오다,https://en.wiktionary.org/wiki/다녀오다,https://www.wordreference.com/koen/다녀오다,https://www.wordreference.com/koen/다녀오다,,,,
1755,1877,B,달다,dalda,동,verb,단추를~,"to be sweet, delicious",https://en.wiktionary.org/wiki/달다,https://en.wiktionary.org/wiki/달다,https://www.wordreference.com/koen/달다,https://www.wordreference.com/koen/달다,,,,
1756,1878,C,대규모,daegyumo,명,noun,大規模,2. to be delicious,https://en.wiktionary.org/wiki/대규모,https://en.wiktionary.org/wiki/대규모,https://www.wordreference.com/koen/대규모,https://www.wordreference.com/koen/대규모,,,,
1757,1879,C,동,dong,관,attributive,同,the same,https://en.wiktionary.org/wiki/동,https://en.wiktionary.org/wiki/동,https://www.wordreference.com/koen/동,https://www.wordreference.com/koen/동,,,,
1758,1880,C,민간,mingan,명,noun,民間,"civil, private",https://en.wiktionary.org/wiki/민간,https://en.wiktionary.org/wiki/민간,https://www.wordreference.com/koen/민간,https://www.wordreference.com/koen/민간,,,,
1759,1881,C,법원,beobwon,명,noun,法院,Court of justice,https://en.wiktionary.org/wiki/법원,https://en.wiktionary.org/wiki/법원,https://www.wordreference.com/koen/법원,https://www.wordreference.com/koen/법원,,,,
1760,1882,A,비디오,bidio,명,noun,video,Video,https://en.wiktionary.org/wiki/비디오,https://en.wiktionary.org/wiki/비디오,https://www.wordreference.com/koen/비디오,https://www.wordreference.com/koen/비디오,,,,
1761,1883,C,사실상,sasilsang,부,adverb,事實上,"Actually, in truth",https://en.wiktionary.org/wiki/사실상,https://en.wiktionary.org/wiki/사실상,https://www.wordreference.com/koen/사실상,https://www.wordreference.com/koen/사실상,,,,
1762,1884,C,아끼다,akkida,동,verb,,"grudge, spare",https://en.wiktionary.org/wiki/아끼다,https://en.wiktionary.org/wiki/아끼다,https://www.wordreference.com/koen/아끼다,https://www.wordreference.com/koen/아끼다,,,,
1763,1885,A,이쪽,ijjok,대,pronoun,,"This side, our way",https://en.wiktionary.org/wiki/이쪽,https://en.wiktionary.org/wiki/이쪽,https://www.wordreference.com/koen/이쪽,https://www.wordreference.com/koen/이쪽,,,,
1764,1888,C,지대,jidae,명,noun,地帶,"Zone, belt, district",https://en.wiktionary.org/wiki/지대,https://en.wiktionary.org/wiki/지대,https://www.wordreference.com/koen/지대,https://www.wordreference.com/koen/지대,,,,
1765,1890,C,판단하다,pandanhada,동,verb,判斷-,To make a conclusion,https://en.wiktionary.org/wiki/판단하다,https://en.wiktionary.org/wiki/판단하다,https://www.wordreference.com/koen/판단하다,https://www.wordreference.com/koen/판단하다,,,,
1766,1891,B,행복하다,haengbokhada,형,adjective,幸福-,To be happy,https://en.wiktionary.org/wiki/행복하다,https://en.wiktionary.org/wiki/행복하다,https://www.wordreference.com/koen/행복하다,https://www.wordreference.com/koen/행복하다,,,,
1767,1892,B,굽다,gupda,동,verb,익히다,To roast or bake,https://en.wiktionary.org/wiki/굽다,https://en.wiktionary.org/wiki/굽다,https://www.wordreference.com/koen/굽다,https://www.wordreference.com/koen/굽다,,,,
1768,1893,B,기름,gireum,명,noun,,Oil or fat,https://en.wiktionary.org/wiki/기름,https://en.wiktionary.org/wiki/기름,https://www.wordreference.com/koen/기름,https://www.wordreference.com/koen/기름,,,,
1769,1894,C,실천하다,silcheonhada,동,verb,實踐-,"To practice, put in theory",https://en.wiktionary.org/wiki/실천하다,https://en.wiktionary.org/wiki/실천하다,https://www.wordreference.com/koen/실천하다,https://www.wordreference.com/koen/실천하다,,,,
1770,1895,B,쏟아지다,ssodajida,동,verb,,To pour out,https://en.wiktionary.org/wiki/쏟아지다,https://en.wiktionary.org/wiki/쏟아지다,https://www.wordreference.com/koen/쏟아지다,https://www.wordreference.com/koen/쏟아지다,,,,
1771,1896,A,연습,yeonseup,명,noun,練習,"practice, exercise",https://en.wiktionary.org/wiki/연습,https://en.wiktionary.org/wiki/연습,https://www.wordreference.com/koen/연습,https://www.wordreference.com/koen/연습,,,,
1772,1897,A,오른쪽,oreunjjok,명,noun,,The right side,https://en.wiktionary.org/wiki/오른쪽,https://en.wiktionary.org/wiki/오른쪽,https://www.wordreference.com/koen/오른쪽,https://www.wordreference.com/koen/오른쪽,,,,
1773,1898,C,용어,yongeo,명,noun,用語,Technical terminology,https://en.wiktionary.org/wiki/용어,https://en.wiktionary.org/wiki/용어,https://www.wordreference.com/koen/용어,https://www.wordreference.com/koen/용어,,,,
1774,1899,C,익히다,ikhida,동,verb,기술을~,"to become proficient in something, Habituate oneself to",https://en.wiktionary.org/wiki/익히다,https://en.wiktionary.org/wiki/익히다,https://www.wordreference.com/koen/익히다,https://www.wordreference.com/koen/익히다,,,,
1775,1901,A,지도,jido,명,noun,地圖,"Map, atlas",https://en.wiktionary.org/wiki/지도,https://en.wiktionary.org/wiki/지도,https://www.wordreference.com/koen/지도,https://www.wordreference.com/koen/지도,,,,
1776,1902,C,지위,jiwi,명,noun,地位,"Position, status",https://en.wiktionary.org/wiki/지위,https://en.wiktionary.org/wiki/지위,https://www.wordreference.com/koen/지위,https://www.wordreference.com/koen/지위,,,,
1777,1903,C,풍부하다,pungbuhada,형,adjective,豊富-,"To be abundant, copious, plentiful",https://en.wiktionary.org/wiki/풍부하다,https://en.wiktionary.org/wiki/풍부하다,https://www.wordreference.com/koen/풍부하다,https://www.wordreference.com/koen/풍부하다,,,,
1778,1904,A,화장실,hwajangsil,명,noun,化粧室,Bathroom,https://en.wiktionary.org/wiki/화장실,https://en.wiktionary.org/wiki/화장실,https://www.wordreference.com/koen/화장실,https://www.wordreference.com/koen/화장실,,,,
1779,1905,B,기억하다,gieokhada,동,verb,記憶-,To recall or remember,https://en.wiktionary.org/wiki/기억하다,https://en.wiktionary.org/wiki/기억하다,https://www.wordreference.com/koen/기억하다,https://www.wordreference.com/koen/기억하다,,,,
1780,1907,C,식량,sikryang,명,noun,食糧,"food, provisions",https://en.wiktionary.org/wiki/식량,https://en.wiktionary.org/wiki/식량,https://www.wordreference.com/koen/식량,https://www.wordreference.com/koen/식량,,,,
1781,1908,C,실험,silheom,명,noun,實驗,"An experiment, test",https://en.wiktionary.org/wiki/실험,https://en.wiktionary.org/wiki/실험,https://www.wordreference.com/koen/실험,https://www.wordreference.com/koen/실험,,,,
1782,1909,C,용기,yonggi,명,noun,勇氣,Bravery,https://en.wiktionary.org/wiki/용기,https://en.wiktionary.org/wiki/용기,https://www.wordreference.com/koen/용기,https://www.wordreference.com/koen/용기,,,,
1783,1912,B,토론,toron,명,noun,討論,"A debate, discussion",https://en.wiktionary.org/wiki/토론,https://en.wiktionary.org/wiki/토론,https://www.wordreference.com/koen/토론,https://www.wordreference.com/koen/토론,,,,
1784,1914,C,핵,haek,명,noun,核,"A nucleus, core",https://en.wiktionary.org/wiki/핵,https://en.wiktionary.org/wiki/핵,https://www.wordreference.com/koen/핵,https://www.wordreference.com/koen/핵,,,,
1785,1915,B,고급,gogeup,명,noun,高級,High rank or first class,https://en.wiktionary.org/wiki/고급,https://en.wiktionary.org/wiki/고급,https://www.wordreference.com/koen/고급,https://www.wordreference.com/koen/고급,,,,
1786,1916,B,고생,gosaeng,명,noun,苦生,A hard life or privation,https://en.wiktionary.org/wiki/고생,https://en.wiktionary.org/wiki/고생,https://www.wordreference.com/koen/고생,https://www.wordreference.com/koen/고생,,,,
1787,1918,B,미치다,michida,동,verb,정신에이상이생기다,"(informal, derogatory) to go crazy, to become insane",https://en.wiktionary.org/wiki/미치다,https://en.wiktionary.org/wiki/미치다,https://www.wordreference.com/koen/미치다,https://www.wordreference.com/koen/미치다,,,,
1788,1919,B,밟다,balpda,동,verb,,Step on,https://en.wiktionary.org/wiki/밟다,https://en.wiktionary.org/wiki/밟다,https://www.wordreference.com/koen/밟다,https://www.wordreference.com/koen/밟다,,,,
1789,1920,C,상당하다,sangdanghada,형,adjective,相當-,"Be proper, suitable",https://en.wiktionary.org/wiki/상당하다,https://en.wiktionary.org/wiki/상당하다,https://www.wordreference.com/koen/상당하다,https://www.wordreference.com/koen/상당하다,,,,
1790,1921,B,섞다,seokkda,동,verb,,"blend, mix",https://en.wiktionary.org/wiki/섞다,https://en.wiktionary.org/wiki/섞다,https://www.wordreference.com/koen/섞다,https://www.wordreference.com/koen/섞다,,,,
1791,1922,C,수석,suseok,명,noun,首席,The top seat,https://en.wiktionary.org/wiki/수석,https://en.wiktionary.org/wiki/수석,https://www.wordreference.com/koen/수석,https://www.wordreference.com/koen/수석,,,,
1792,1925,B,없애다,eopsaeda,동,verb,,"Remove, get rid of, do away with",https://en.wiktionary.org/wiki/없애다,https://en.wiktionary.org/wiki/없애다,https://www.wordreference.com/koen/없애다,https://www.wordreference.com/koen/없애다,,,,
1793,1928,B,이뤄지다,irwojida,동,verb,,To make something for a specific purpose,https://en.wiktionary.org/wiki/이뤄지다,https://en.wiktionary.org/wiki/이뤄지다,https://www.wordreference.com/koen/이뤄지다,https://www.wordreference.com/koen/이뤄지다,,,,
1794,1930,C,적절하다,jeokjeolhada,형,adjective,適切-,Appropriateness,https://en.wiktionary.org/wiki/적절하다,https://en.wiktionary.org/wiki/적절하다,https://www.wordreference.com/koen/적절하다,https://www.wordreference.com/koen/적절하다,,,,
1795,1931,B,정상,jeongsang,명,noun,頂上,"The top, summit",https://en.wiktionary.org/wiki/정상,https://en.wiktionary.org/wiki/정상,https://www.wordreference.com/koen/정상,https://www.wordreference.com/koen/정상,,,,
1796,1932,C,제사,jesa,명,noun,祭祀,A holiday ceremony,https://en.wiktionary.org/wiki/제사,https://en.wiktionary.org/wiki/제사,https://www.wordreference.com/koen/제사,https://www.wordreference.com/koen/제사,,,,
1797,1933,A,주말,jumal,명,noun,週末,Weekend,https://en.wiktionary.org/wiki/주말,https://en.wiktionary.org/wiki/주말,https://www.wordreference.com/koen/주말,https://www.wordreference.com/koen/주말,,,,
1798,1934,C,지혜,jihye,명,noun,智慧,"Wisdom, wits",https://en.wiktionary.org/wiki/지혜,https://en.wiktionary.org/wiki/지혜,https://www.wordreference.com/koen/지혜,https://www.wordreference.com/koen/지혜,,,,
1799,1935,C,참새,chamsae,명,noun,동물,A sparrow,https://en.wiktionary.org/wiki/참새,https://en.wiktionary.org/wiki/참새,https://www.wordreference.com/koen/참새,https://www.wordreference.com/koen/참새,,,,
1800,1936,B,화장품,hwajangpum,명,noun,化粧品,"Makup, cosmetics",https://en.wiktionary.org/wiki/화장품,https://en.wiktionary.org/wiki/화장품,https://www.wordreference.com/koen/화장품,https://www.wordreference.com/koen/화장품,,,,
1801,1937,B,굵다,gulkda,형,adjective,,Be thick or fat,https://en.wiktionary.org/wiki/굵다,https://en.wiktionary.org/wiki/굵다,https://www.wordreference.com/koen/굵다,https://www.wordreference.com/koen/굵다,,,,
1802,1939,B,깨끗이,kkaekkeusi,부,adverb,,Clean or neatly,https://en.wiktionary.org/wiki/깨끗이,https://en.wiktionary.org/wiki/깨끗이,https://www.wordreference.com/koen/깨끗이,https://www.wordreference.com/koen/깨끗이,,,,
1803,1940,B,낡다,nalkda,형,adjective,,Clear,https://en.wiktionary.org/wiki/낡다,https://en.wiktionary.org/wiki/낡다,https://www.wordreference.com/koen/낡다,https://www.wordreference.com/koen/낡다,,,,
1804,1941,A,내년,naenyeon,명,noun,來年,Next year,https://en.wiktionary.org/wiki/내년,https://en.wiktionary.org/wiki/내년,https://www.wordreference.com/koen/내년,https://www.wordreference.com/koen/내년,,,,
1805,1942,C,농산물,nongsanmul,명,noun,農産物,Agricultural products,https://en.wiktionary.org/wiki/농산물,https://en.wiktionary.org/wiki/농산물,https://www.wordreference.com/koen/농산물,https://www.wordreference.com/koen/농산물,,,,
1806,1943,B,눈앞,nunap,명,noun,,Before one’s eyes,https://en.wiktionary.org/wiki/눈앞,https://en.wiktionary.org/wiki/눈앞,https://www.wordreference.com/koen/눈앞,https://www.wordreference.com/koen/눈앞,,,,
1807,1944,A,대학생,daehaksaeng,명,noun,大學生,University student,https://en.wiktionary.org/wiki/대학생,https://en.wiktionary.org/wiki/대학생,https://www.wordreference.com/koen/대학생,https://www.wordreference.com/koen/대학생,,,,
1808,1945,B,방문하다,bangmunhada,동,verb,訪問-,To visit,https://en.wiktionary.org/wiki/방문하다,https://en.wiktionary.org/wiki/방문하다,https://www.wordreference.com/koen/방문하다,https://www.wordreference.com/koen/방문하다,,,,
1809,1946,B,붉다,bulkda,형,adjective,,"Be red, scalet",https://en.wiktionary.org/wiki/붉다,https://en.wiktionary.org/wiki/붉다,https://www.wordreference.com/koen/붉다,https://www.wordreference.com/koen/붉다,,,,
1810,1947,C,사고,sago,명,noun,思考,thought; reflection,https://en.wiktionary.org/wiki/사고,https://en.wiktionary.org/wiki/사고,https://www.wordreference.com/koen/사고,https://www.wordreference.com/koen/사고,,,,
1811,1948,B,순서,sunseo,명,noun,順序,"system, order, sequence",https://en.wiktionary.org/wiki/순서,https://en.wiktionary.org/wiki/순서,https://www.wordreference.com/koen/순서,https://www.wordreference.com/koen/순서,,,,
1812,1949,B,아무래도,amuraedo,부,adverb,,"Never on any account, no matter what",https://en.wiktionary.org/wiki/아무래도,https://en.wiktionary.org/wiki/아무래도,https://www.wordreference.com/koen/아무래도,https://www.wordreference.com/koen/아무래도,,,,
1813,1950,B,연구소,yeonguso,명,noun,硏究所,A research institute,https://en.wiktionary.org/wiki/연구소,https://en.wiktionary.org/wiki/연구소,https://www.wordreference.com/koen/연구소,https://www.wordreference.com/koen/연구소,,,,
1814,1951,C,올,ol,관,attributive,올해,This year,https://en.wiktionary.org/wiki/올,https://en.wiktionary.org/wiki/올,https://www.wordreference.com/koen/올,https://www.wordreference.com/koen/올,,,,
1815,1952,C,위대하다,widaehada,형,adjective,偉大-,"To be great, mighty, grand",https://en.wiktionary.org/wiki/위대하다,https://en.wiktionary.org/wiki/위대하다,https://www.wordreference.com/koen/위대하다,https://www.wordreference.com/koen/위대하다,,,,
1816,1953,B,이사,isa,명,noun,移徙,House-moving,https://en.wiktionary.org/wiki/이사,https://en.wiktionary.org/wiki/이사,https://www.wordreference.com/koen/이사,https://www.wordreference.com/koen/이사,,,,
1817,1954,C,지배하다,jibaehada,동,verb,支配-,"Control, direct",https://en.wiktionary.org/wiki/지배하다,https://en.wiktionary.org/wiki/지배하다,https://www.wordreference.com/koen/지배하다,https://www.wordreference.com/koen/지배하다,,,,
1818,1955,C,틈,teum,명,noun,,"A crack, gap, opening",https://en.wiktionary.org/wiki/틈,https://en.wiktionary.org/wiki/틈,https://www.wordreference.com/koen/틈,https://www.wordreference.com/koen/틈,,,,
1819,1956,C,가령,garyeong,부,adverb,假令,1) For example 2) supposing or admitting,https://en.wiktionary.org/wiki/가령,https://en.wiktionary.org/wiki/가령,https://www.wordreference.com/koen/가령,https://www.wordreference.com/koen/가령,,,,
1820,1958,C,거대하다,geodaehada,형,adjective,巨大-,Huge or gigantic or enormous,https://en.wiktionary.org/wiki/거대하다,https://en.wiktionary.org/wiki/거대하다,https://www.wordreference.com/koen/거대하다,https://www.wordreference.com/koen/거대하다,,,,
1821,1959,A,닫다,datda,동,verb,,To close,https://en.wiktionary.org/wiki/닫다,https://en.wiktionary.org/wiki/닫다,https://www.wordreference.com/koen/닫다,https://www.wordreference.com/koen/닫다,,,,
1822,1960,C,드물다,deumulda,형,adjective,,to be rare,https://en.wiktionary.org/wiki/드물다,https://en.wiktionary.org/wiki/드물다,https://www.wordreference.com/koen/드물다,https://www.wordreference.com/koen/드물다,,,,
1823,1961,B,들르다,deulleuda,동,verb,,(transitive) to hold,https://en.wiktionary.org/wiki/들르다,https://en.wiktionary.org/wiki/들르다,https://www.wordreference.com/koen/들르다,https://www.wordreference.com/koen/들르다,,,,
1824,1962,C,매달리다,maedallida,동,verb,,"Be suspended, to be hanging down (from) ; to stick to a job, to persevere",https://en.wiktionary.org/wiki/매달리다,https://en.wiktionary.org/wiki/매달리다,https://www.wordreference.com/koen/매달리다,https://www.wordreference.com/koen/매달리다,,,,
1825,1963,A,생일,saengil,명,noun,生日,A birthday,https://en.wiktionary.org/wiki/생일,https://en.wiktionary.org/wiki/생일,https://www.wordreference.com/koen/생일,https://www.wordreference.com/koen/생일,,,,
1826,1964,B,섬,seom,명,noun,,An island,https://en.wiktionary.org/wiki/섬,https://en.wiktionary.org/wiki/섬,https://www.wordreference.com/koen/섬,https://www.wordreference.com/koen/섬,,,,
1827,1965,B,이하,iha,명,noun,以下,"Less than, below",https://en.wiktionary.org/wiki/이하,https://en.wiktionary.org/wiki/이하,https://www.wordreference.com/koen/이하,https://www.wordreference.com/koen/이하,,,,
1828,1966,B,참석하다,chamseokhada,동,verb,參席-,"To attend, take part in",https://en.wiktionary.org/wiki/참석하다,https://en.wiktionary.org/wiki/참석하다,https://www.wordreference.com/koen/참석하다,https://www.wordreference.com/koen/참석하다,,,,
1829,1967,C,토대,todae,명,noun,土臺,"A foundation, a base",https://en.wiktionary.org/wiki/토대,https://en.wiktionary.org/wiki/토대,https://www.wordreference.com/koen/토대,https://www.wordreference.com/koen/토대,,,,
1830,1968,B,해결,haegyeol,명,noun,解決,"Solution, settlement",https://en.wiktionary.org/wiki/해결,https://en.wiktionary.org/wiki/해결,https://www.wordreference.com/koen/해결,https://www.wordreference.com/koen/해결,,,,
1831,1969,B,행복,haengbok,명,noun,幸福,Happiness,https://en.wiktionary.org/wiki/행복,https://en.wiktionary.org/wiki/행복,https://www.wordreference.com/koen/행복,https://www.wordreference.com/koen/행복,,,,
1832,1970,A,걸어가다,georeogada,동,verb,,To go on foot or walk,https://en.wiktionary.org/wiki/걸어가다,https://en.wiktionary.org/wiki/걸어가다,https://www.wordreference.com/koen/걸어가다,https://www.wordreference.com/koen/걸어가다,,,,
1833,1971,B,근로자,geunroja,명,noun,勤勞者,Laborer,https://en.wiktionary.org/wiki/근로자,https://en.wiktionary.org/wiki/근로자,https://www.wordreference.com/koen/근로자,https://www.wordreference.com/koen/근로자,,,,
1834,1972,B,글쎄,geulsse,감,interjection,,Now or well or let me see,https://en.wiktionary.org/wiki/글쎄,https://en.wiktionary.org/wiki/글쎄,https://www.wordreference.com/koen/글쎄,https://www.wordreference.com/koen/글쎄,,,,
1835,1973,C,목숨,moksum,명,noun,,Life,https://en.wiktionary.org/wiki/목숨,https://en.wiktionary.org/wiki/목숨,https://www.wordreference.com/koen/목숨,https://www.wordreference.com/koen/목숨,,,,
1836,1974,A,백화점,baekhwajeom,명,noun,百貨店,Department store,https://en.wiktionary.org/wiki/백화점,https://en.wiktionary.org/wiki/백화점,https://www.wordreference.com/koen/백화점,https://www.wordreference.com/koen/백화점,,,,
1837,1975,B,변화하다,byeonhwahada,동,verb,變化-,"To change, vary",https://en.wiktionary.org/wiki/변화하다,https://en.wiktionary.org/wiki/변화하다,https://www.wordreference.com/koen/변화하다,https://www.wordreference.com/koen/변화하다,,,,
